10000000
13
2	3	2	8	3	0	0	149	8	0	1	1543	2
3	268	2	7	46	0	0	242	2	0	10	1912	2
31	505	14	237	5	0	0	60	2	0	2	5801	14
12	54	9	18	2	0	0	38	10	0	1	11072	9
2	245	2	515	10	0	3	9	5	0	1	2337	2
1	282	1	102	18	0	0	1406	5	0	6	12172	1
44	65	3	1	2	26	0	122	0	1	1	2	1
14	633	10	200	293	0	0	77	0	0	5	7142	10
21	646	23	24	451	175	6	10	47	2	35	531	24
10	207	6	27	4	1	0	16	23	1	1	662	6
23	130	8	130	24	0	0	11	0	0	1	4610	9
1	250	5	11	2	0	0	1	10	0	1	2988	6
5	126	4	166	20	0	0	0	4	0	4	17886	4
108	561	26	635	7	0	0	146	0	0	1	2951	72
11	91	3	39	7	0	0	2	20	0	2	937	3
14	25	11	67	5	0	0	1	11	0	1	629	11
45	1124	33	125	23	0	0	19	43	0	6	2191	56
9	4	9	51	3	0	0	72	47	0	1	11291	9
16	1324	8	1105	4	0	0	30	7	0	1	7523	8
1	401	3	5	365	9	0	0	7	2	51	72	3
3	502	3	92	9	0	0	0	4	0	1	18734	4
28	3851	28	38	2	0	0	0	33	0	2	5639	28
1	416	1	63	6	0	1	9	26	0	2	5968	16
11	574	11	277	5	0	0	28	11	0	3	18383	11
11	1516	1	164	2	0	0	78	0	0	1	3310	1
1	7	24	24	1	2	0	2	33	1	1	861	24
3	98	3	2	5	3	1	55	13	2	3	1	2
1	304	1	62	1	0	0	30	28	0	1	1512	1
2	1023	4	13	11	1	0	0	4	1	10	27	4
6	428	1	9	6	0	0	1133	9	0	4	1475	5
