10000000
13
2	3	2	8	3	0	0	149	8	0	1	1543	2
3	268	2	7	46	0	0	242	2	0	10	1912	2
31	505	14	237	5	0	0	60	2	0	2	5801	14
12	54	9	18	2	0	0	38	10	0	1	11072	9
2	245	2	515	10	0	3	9	5	0	1	2337	2
1	282	1	102	18	0	0	1406	5	0	6	12172	1
44	65	3	1	2	26	0	122	0	1	1	2	1
14	633	10	200	293	0	0	77	0	0	5	7142	10
21	646	23	24	451	175	6	10	47	2	35	531	24
10	207	6	27	4	1	0	16	23	1	1	662	6
23	130	8	130	24	0	0	11	0	0	1	4610	9
1	250	5	11	2	0	0	1	10	0	1	2988	6
5	126	4	166	20	0	0	0	4	0	4	17886	4
108	561	26	635	7	0	0	146	0	0	1	2951	72
11	91	3	39	7	0	0	2	20	0	2	937	3
14	25	11	67	5	0	0	1	11	0	1	629	11
45	1124	33	125	23	0	0	19	43	0	6	2191	56
9	4	9	51	3	0	0	72	47	0	1	11291	9
16	1324	8	1105	4	0	0	30	7	0	1	7523	8
1	401	3	5	365	9	0	0	7	2	51	72	3
3	502	3	92	9	0	0	0	4	0	1	18734	4
28	3851	28	38	2	0	0	0	33	0	2	5639	28
1	416	1	63	6	0	1	9	26	0	2	5968	16
11	574	11	277	5	0	0	28	11	0	3	18383	11
11	1516	1	164	2	0	0	78	0	0	1	3310	1
1	7	24	24	1	2	0	2	33	1	1	861	24
3	98	3	2	5	3	1	55	13	2	3	1	2
1	304	1	62	1	0	0	30	28	0	1	1512	1
2	1023	4	13	11	1	0	0	4	1	10	27	4
6	428	1	9	6	0	0	1133	9	0	4	1475	5
28	265	3	164	7	0	0	263	5	0	1	12657	5
3	38	2	10	38	0	0	6	2	0	2	22304	2
1	173	2	19	30	0	0	2	3	0	4	7297	2
94	634	4	22	13	11	0	4	5	2	1	87	22
59	286	9	95	79	1	3	1	23	1	9	256	9
27	3	25	308	3	0	0	3	29	0	1	23178	25
1	361	1	138	6	0	0	1	1	0	5	10116	1
1	404	2	252	1	0	0	18	13	0	1	18840	2
6	331	3	54	12	0	0	0	5	0	2	3977	3
1	56	1	4	3	0	0	2	1	0	1	4250	1
1	170	12	79	6	0	0	33	20	0	2	9982	15
66	7	31	57	2	0	0	16	30	0	1	17254	31
4	417	3	3	4	3	0	141	39	1	3	511	3
1	658	10	48	6	0	0	0	32	0	5	119	10
2	292	2	123	3	0	0	207	5	0	2	22939	2
12	1090	1	107	7	0	0	247	12	0	5	1887	1
2	192	4	326	2	0	0	3	7	0	1	32250	4
29	17	12	13	10	0	0	1	11	0	1	6818	12
5	572	5	1526	9	0	0	9	9	0	2	8484	5
2	510	1	28	3	0	0	1	1	0	2	2988	1
4	322	5	270	8	0	0	388	9	0	2	35065	5
7	156	9	295	14	0	0	13	9	0	3	19045	9
1	791	0	42	3	0	0	5	3	0	3	6320	3
9	331	2	20	21	1	0	306	2	1	11	758	4
1	202	1	63	2	0	0	1025	8	0	2	7009	1
94	1827	27	29	13	4	1	6	42	1	2	21	27
3	62	3	13	4	0	0	872	5	0	1	10150	3
67	240	2	2	192	31	1	46	7	2	14	4	2
6	169	3	115	9	0	0	5	0	0	3	3035	3
607	1321	60	1408	9	0	0	4	3	0	1	40618	62
36	165	3	165	1	0	0	12	0	0	1	7293	3
7	511	2	111	1	0	0	196	4	0	1	10094	2
2	143	2	108	1	0	0	25	12	0	1	22821	2
36	54	0	389	2	0	0	3302	24	0	1	2992	2
5	301	3	129	2	0	0	12	8	0	2	8827	3
5	33	4	42	1	0	0	2	7	0	1	2910	6
4	440	1	20	3	2	0	107	16	1	1	792	3
4	54	5	94	2	0	0	26	29	0	2	2060	8
71	1073	1	196	1	0	0	9	4	0	1	3683	4
1	275	1	213	2	0	0	86	1	0	1	1118	1
5	1098	5	154	6	0	0	13	24	0	4	12924	5
73	271	18	359	1	0	0	65	1	0	1	9014	19
4	49	6	105	1	0	0	4	10	0	1	10661	6
23	18	6	4	12	11	4	1	8	2	2	2	4
41	2290	12	1	17	1	0	110	0	1	5	2	1
3	266	3	12	32	0	0	1	3	0	7	1568	3
7	13	7	19	2	0	0	1	7	0	1	14316	7
2	56	5	18	4	7	0	40	24	1	1	1104	6
1	457	2	123	52	0	0	12	3	0	13	7696	2
10	158	1	856	5	0	0	66	0	0	3	18	1
2	289	6	7	1	1	0	16	5	1	1	5	6
3	637	6	360	5	0	0	1	6	0	2	6209	16
69	148	46	47	4	20	0	27	12	1	2	789	46
4	23	7	13	2	0	0	0	5	0	1	9067	7
2	264	3	134	10	0	0	9	3	0	5	16410	3
10	48	9	9	33	3	3	0	11	1	5	23	9
191	867	4	1044	10	0	0	781	0	0	1	8867	108
14	753	7	188	51	0	0	46	2	0	12	12	5
2	162	2	4	2	0	0	79	0	0	1	2773	2
13	22	6	47	21	0	0	5	6	0	2	3268	6
8	127	2	328	1	0	0	214	2	0	1	14425	2
63	87	4	32	1	0	0	0	2	0	1	8809	4
12	8	16	17	18	13	0	68	16	2	8	8	16
3	348	6	167	5	0	0	0	17	0	2	11479	7
63	54	20	74	18	11	0	9	47	1	2	41	20
2	207	2	165	14	0	0	690	2	0	3	15268	2
58	605	15	92	10	0	0	163	37	0	1	1404	18
9	129	2	151	4	0	0	1	6	0	1	5456	2
1	602	6	36	13	0	0	1	41	0	6	1127	6
1	603	1	394	55	0	0	57	0	0	9	3552	1
